asset_title,content_category,count,total_duration_seconds
MONKEY MONKEY MUSIC FILLER - SEARCHING FOR SO FIL730 SEASON 5,Filler,1,60.1
MONKEY MONKEY MUSIC FILLER - NUTSHELLS - COUN SEASON 3,Filler,1,88.56666666666666
NOVA #4613$ 7YN THE PLANETS: MARS [TVG] pt02,Program,1,612.0333333333333
MONKEY MONKEY MUSIC FILLER - MACARONI SEASON 3,Filler,1,61.03333333333333
NOVA #4613$ 7YN THE PLANETS: MARS [TVG] pt04,Program,1,608.9333333333333
"ODD SQUAD #131H 7YD NO IFS, ANDS, OR ROBOTS/WORST FIRST [TVY]",Program,1,1725.9666666666667
MONKEY MONKEY MUSIC FILLER - HOLD HANDS MARCH FIL720 SEASON 5,Filler,1,1800.0
MONKEY MONKEY MUSIC FILLER - HELLO - SPIN HAP SEASON 3,Filler,1,922.0
MONKEY MONKEY MUSIC FILLER - WALK -THROUGH SE RT500451 SEASON 4,Filler,1,3569.0
NOVA #4613 7YN THE PLANETS: MARS [TVG],Program,1,3244.1666666666665
NOVA #4613$ 7YN THE PLANETS: MARS [TVG] pt01,Program,1,1073.1
NOVA #4613$ 7YN THE PLANETS: MARS [TVG] pt03,Program,1,1053.8
PBS NEWS HOUR #15175H 7YN,Program,1,586.0
PBS NEWS HOUR #15177H 7YN,Program,1,586.0
NATURE #4410$ 7YD PARENTHOOD: THE GREATEST ADVE [TVPG] pt04,Program,1,452.9
MORE DECONSTRUCTING THE BEATLES #202 7YN [TVPG] pt03,Program,1,2724.0
MORGENSTERN BOOKS - MARCH,Other,1,840.0
PBS NEWS HOUR #15176 7YN,Program,1,2400.0
PBS NEWS HOUR #15176H 7YN,Program,1,586.0
PBS NEWS HOUR #15175 7YN,Program,1,2400.0
MORE DECONSTRUCTING THE BEATLES #202 7YN [TVPG] pt01,Program,1,1118.3666666666666
NOVA #4613$ 7YN THE PLANETS: MARS [TVG] pt06,Program,1,608.9
MORGENSTERN BOOKS - SUNDAY,Other,1,840.0
NATURE #4410$ 7YD PARENTHOOD: THE GREATEST ADVE [TVPG] pt01,Program,1,1104.0333333333333
NATURE #4410$ 7YD PARENTHOOD: THE GREATEST ADVE [TVPG] pt02,Program,1,568.9
PATI S MEXICAN TABLE #1107H 7YN CANTINA CULTURE AND THE MORNING AFT [TVG],Program,1,1605.8333333333333
NATURE #4410$ 7YD PARENTHOOD: THE GREATEST ADVE [TVPG] pt03,Program,1,1281.1333333333334
PAINTING AND TRAVEL WITH ROGER & S #1008H 7YN BLUE WATER BRIDGE [TVG],Program,1,1630.1
NEW LEAF LANDSCAPE CONSULTING_2017,Other,1,840.0
MORE DECONSTRUCTING THE BEATLES #201 7YN [TVPG] pt03,Program,1,2728.0
NATURE #4410$ 7YD PARENTHOOD: THE GREATEST ADVE [TVPG] pt05,Program,1,863.8333333333334
MORE DECONSTRUCTING THE BEATLES #201 7YN [TVPG] pt02,Program,1,486.73333333333335
NATURE #4410$ 7YD PARENTHOOD: THE GREATEST ADVE [TVPG] pt06,Program,1,512.1333333333333
MORE DECONSTRUCTING THE BEATLES #201 7YN [TVPG] pt01,Program,1,1153.3333333333333
ODD SQUAD #231H 7YD OTHER OLYMPIA/TOTAL ZEROS [TVY],Program,1,1726.1333333333334
